DATAFLOW,LAST UPDATE,freq,org_inst,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Albania,2018,46.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Albania,2019,48.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Albania,2020,47.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Albania,2021,59.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Albania,2022,43.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Albania,2023,54.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2003,26.7,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2004,27.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2005,37.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2006,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2007,35.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2008,35.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2009,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2010,38.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2011,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2012,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2013,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2014,31.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2015,31.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2016,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2017,26.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2018,37.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2019,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2020,52.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2021,47.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2022,44.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2023,44.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Austria,2024,43.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bosnia and Herzegovina,2018,10.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bosnia and Herzegovina,2019,11.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bosnia and Herzegovina,2020,15.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bosnia and Herzegovina,2021,15.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bosnia and Herzegovina,2022,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bosnia and Herzegovina,2023,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2003,40.0,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2004,26.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2005,26.3,,
